data_val,target_pred
[6.8 3.  5.5 2.1],virginica
[6.  2.7 5.1 1.6],versicolor
[5.  2.3 3.3 1. ],versicolor
[6.7 3.  5.2 2.3],virginica
[6.  2.9 4.5 1.5],versicolor
[5.4 3.7 1.5 0.2],setosa
[4.8 3.4 1.6 0.2],setosa
[5.9 3.  4.2 1.5],versicolor
[5.5 2.5 4.  1.3],versicolor
[7.4 2.8 6.1 1.9],virginica
[6.2 3.4 5.4 2.3],virginica
[6.5 3.2 5.1 2. ],virginica
[6.  3.4 4.5 1.6],versicolor
[6.9 3.1 4.9 1.5],virginica
[5.  3.3 1.4 0.2],setosa
[5.2 3.4 1.4 0.2],setosa
[6.4 2.7 5.3 1.9],virginica
[6.1 2.8 4.  1.3],versicolor
[5.5 2.4 3.8 1.1],versicolor
[7.  3.2 4.7 1.4],versicolor
[5.  3.  1.6 0.2],setosa
[6.1 3.  4.6 1.4],versicolor
[5.7 4.4 1.5 0.4],setosa
[4.8 3.4 1.9 0.2],setosa
[5.  3.5 1.6 0.6],setosa
[6.2 2.8 4.8 1.8],virginica
[5.  3.6 1.4 0.2],setosa
[4.6 3.6 1.  0.2],setosa
[5.4 3.4 1.5 0.4],setosa
[7.2 3.6 6.1 2.5],virginica
